Hour,Mean PM2.5,Std PM2.5
0,6.568571428571429,4.157678451959713
1,6.6207142857142856,4.149417872583898
2,6.666428571428571,4.143591172183592
3,6.714999999999999,4.169884244842369
4,6.760714285714286,4.2064519386399635
5,6.811428571428571,4.287243793004935
6,6.867142857142857,4.377456986690979
7,6.922142857142857,4.476319192873037
8,6.99,4.647409534850074
9,7.055,4.795269704454748
10,7.122142857142857,4.9486551064544155
11,7.1850000000000005,5.095800307040177
12,7.229285714285715,5.2109802182665055
13,7.257857142857143,5.2802027620907905
14,7.281428571428571,5.327285146579545
15,7.297857142857142,5.366513233535745
16,7.307142857142858,5.364824792567327
17,7.311428571428571,5.3389005741500135
18,7.306428571428571,5.291484606484208
19,7.300714285714286,5.248075785518865
20,7.292142857142857,5.103012954009739
21,7.284285714285715,4.941975180160123
22,7.273571428571429,4.770582301407817
23,7.267857142857143,4.612470018366479
